datetime,exchange_balance,exchange_inflow,exchange_outflow,date,exchange_netflow
2025-10-23T00:00:00Z,2160.462580699998,27789.805487999998,25629.3429073,2025-10-23,2160.4625806999975
2025-10-24T00:00:00Z,-7561.821391210002,25876.27524552999,33438.09663673999,2025-10-24,-7561.82139121
2025-10-25T00:00:00Z,895.346268980002,10664.48090109,9769.134632109999,2025-10-25,895.3462689800017
2025-10-26T00:00:00Z,-739.291835760005,12913.671869309994,13652.963705069998,2025-10-26,-739.2918357600047
2025-10-27T00:00:00Z,2245.806131749993,22409.73384625999,20163.927714509995,2025-10-27,2245.806131749996
2025-10-28T00:00:00Z,-1768.061597119999,22561.084055879994,24329.14565299999,2025-10-28,-1768.061597119995
2025-10-29T00:00:00Z,405.558883869986,30240.521071129988,29834.962187260004,2025-10-29,405.55888386998413
2025-10-30T00:00:00Z,4250.06850298001,38474.61085723001,34224.54235425,2025-10-30,4250.068502980008
2025-10-31T00:00:00Z,4637.372802889984,39372.16880803997,34734.79600514999,2025-10-31,4637.372802889979
2025-11-01T00:00:00Z,2319.002797849991,23903.67215380999,21584.66935596,2025-11-01,2319.0027978499893
2025-11-02T00:00:00Z,391.12223444,11645.054444619998,11253.932210179999,2025-11-02,391.1222344399994
2025-11-03T00:00:00Z,-7946.67061480999,38441.93609123999,46388.606706049984,2025-11-03,-7946.670614809991
2025-11-04T00:00:00Z,4345.047224350002,55658.128310730004,51313.08108638,2025-11-04,4345.047224350004
2025-11-05T00:00:00Z,370.167432620001,38769.634607250024,38399.46717463002,2025-11-05,370.1674326200009
2025-11-06T00:00:00Z,-1385.779154619996,36371.17223873998,37756.951393359974,2025-11-06,-1385.779154619995
2025-11-07T00:00:00Z,982.976461600007,36691.78247252001,35708.80601092001,2025-11-07,982.976461600003
2025-11-08T00:00:00Z,-472.972027239994,14051.101759260006,14524.0737865,2025-11-08,-472.9720272399936
2025-11-09T00:00:00Z,-1428.914825680002,12878.414439159978,14307.32926483998,2025-11-09,-1428.9148256800017
2025-11-10T00:00:00Z,-964.929964730005,31029.422263389984,31994.35222811999,2025-11-10,-964.9299647300068
2025-11-11T00:00:00Z,251.153190790001,31712.011717790003,31460.858527,2025-11-11,251.15319079000255
2025-11-12T00:00:00Z,-5393.985886680008,26166.58225677,31560.56814345001,2025-11-12,-5393.98588668001
2025-11-13T00:00:00Z,2791.604075510005,38547.37188862001,35755.76781311,2025-11-13,2791.604075510011
2025-11-14T00:00:00Z,4464.781476040004,69305.30941900998,64840.52794296999,2025-11-14,4464.781476039992
2025-11-15T00:00:00Z,102.133977059998,31393.921205030005,31291.787227970006,2025-11-15,102.13397705999887
2025-11-16T00:00:00Z,2208.031906619999,22106.50599501001,19898.474088390012,2025-11-16,2208.031906619999
2025-11-17T00:00:00Z,6498.093974539994,55762.722163100014,49264.62818856002,2025-11-17,6498.0939745399955
2025-11-18T00:00:00Z,-2100.762858809964,66382.65907057005,68483.42192938001,2025-11-18,-2100.7628588099615
2025-11-19T00:00:00Z,-14.89810646002,39922.45662588999,39937.35473235,2025-11-19,-14.898106460015697
2025-11-20T00:00:00Z,1823.124305530023,51541.80425708001,49718.67995154999,2025-11-20,1823.124305530022
2025-11-21T00:00:00Z,6107.594347579999,78860.14491477002,72752.55056719003,2025-11-21,6107.594347579987
2025-11-22T00:00:00Z,1209.74069934,28484.029030819987,27274.288331479987,2025-11-22,1209.74069934
2025-11-23T00:00:00Z,-2911.611580880002,21897.77969618002,24809.391277060022,2025-11-23,-2911.6115808800023
