event_peak_ts,event_peak_cpi,entry_signal_ts,exit_signal_ts,exit_reason,symbol,entry_bar_ts,exit_bar_ts,entry_px,exit_px,gross_pnl_pct,costs_pct,pnl_pct,hold_hours,btc_ret
2025-11-07 11:22:00,0.9491974711418152,2025-11-07 11:28:00,2025-11-07 12:42:00,vdv30_zero,SOL,2025-11-07 11:00:00,2025-11-07 12:00:00,153.77,151.57,-0.014307082005592879,0.0013,-0.015607082005592878,1.0,-0.007574044202847406
2025-11-07 13:43:00,0.959106981754303,2025-11-07 13:45:00,2025-11-07 14:45:00,vdv30_zero,ETH,2025-11-07 13:00:00,2025-11-07 14:00:00,3239.53,3286.69,0.01455766731593776,0.0013,0.01325766731593776,1.0,0.004571509475537688
2025-11-07 13:43:00,0.959106981754303,2025-11-07 13:45:00,2025-11-07 14:45:00,vdv30_zero,SOL,2025-11-07 13:00:00,2025-11-07 14:00:00,152.24,154.62,0.015633210719915892,0.0013,0.014333210719915893,1.0,0.004571509475537688
2025-11-08 03:50:00,0.9367502331733704,2025-11-08 04:44:00,2025-11-08 05:44:00,vdv30_zero,ETH,2025-11-08 04:00:00,2025-11-08 05:00:00,3457.13,3429.86,-0.007888045864633375,0.0013,-0.009188045864633374,1.0,-0.0024145187205684804
2025-11-08 03:50:00,0.9367502331733704,2025-11-08 04:44:00,2025-11-08 05:44:00,vdv30_zero,SOL,2025-11-08 04:00:00,2025-11-08 05:00:00,162.61,161.29,-0.00811758194452999,0.0013,-0.00941758194452999,1.0,-0.0024145187205684804
2025-11-08 05:57:00,0.9510573744773865,2025-11-08 06:27:00,2025-11-08 07:27:00,vdv30_zero,ETH,2025-11-08 06:00:00,2025-11-08 07:00:00,3443.75,3446.41,0.000772413793103406,0.0013,-0.000527586206896594,1.0,0.0012831329192594361
2025-11-08 05:57:00,0.9510573744773865,2025-11-08 06:27:00,2025-11-08 07:27:00,vdv30_zero,SOL,2025-11-08 06:00:00,2025-11-08 07:00:00,161.01,160.96,-0.0003105397180298301,0.0013,-0.00161053971802983,1.0,0.0012831329192594361
2025-11-08 11:56:00,0.9482920169830322,2025-11-08 11:57:00,2025-11-08 13:11:00,cpi_regime_flip,ETH,2025-11-08 11:00:00,2025-11-08 13:00:00,3411.53,3395.2,-0.004786708602885034,0.0013,-0.006086708602885034,2.0,-0.00045871739865009035
2025-11-08 11:56:00,0.9482920169830322,2025-11-08 11:57:00,2025-11-08 13:11:00,cpi_regime_flip,SOL,2025-11-08 11:00:00,2025-11-08 13:00:00,159.29,158.14,-0.007219536694080016,0.0013,-0.008519536694080017,2.0,-0.00045871739865009035
2025-11-08 14:28:00,0.9646954536437988,2025-11-08 14:33:00,2025-11-08 15:38:00,vdv30_zero,ETH,2025-11-08 14:00:00,2025-11-08 15:00:00,3398.56,3375.68,-0.006732263076126391,0.0013,-0.008032263076126391,1.0,-0.001063012471238705
