scope,signal,description,horizon,full_ic,full_tstat,full_pval,full_n,hit_rate,is_ic,is_tstat,is_n,oos_ic,oos_tstat,oos_n,sign_consistent
ETH,taker_ratio_raw,Taker buy/sell ratio (raw),3d,-0.015253021881057078,-0.577872955608045,0.5634405586657372,1437,0.5128740431454419,-0.03909363471688121,-1.2353378623766134,999,0.020565261020016434,0.42950609207181273,438,False
ETH,taker_ratio_raw,Taker buy/sell ratio (raw),7d,-0.029208448689966183,-1.1053851935978694,0.2691785257201012,1433,0.5003489183531054,-0.047871574981795416,-1.513294661377526,999,-0.01362700372017884,-0.2832582546536982,434,True
ETH,taker_ratio_raw,Taker buy/sell ratio (raw),14d,-0.018723130026331542,-0.7066584940079245,0.4798943383021183,1426,0.4761570827489481,-0.016293331407559862,-0.514535240162702,999,-0.055123602038152,-1.1381326553966564,427,True
ETH,taker_ratio_range,Taker ratio intraday range,1d,-0.029994598770652494,-1.1375405607219926,0.25550201181700716,1439,0.4996525364836692,-0.04720321122725932,-1.492119131328153,999,0.01163182191493288,0.24345246799265866,440,False
ETH,taker_ratio_range,Taker ratio intraday range,3d,-0.02690700099633647,-1.019643873191015,0.30806925887527564,1437,0.5128740431454419,-0.04273079492317968,-1.3504714501353228,999,0.0020294134637348646,0.04237548445159135,438,False
ETH,taker_ratio_range,Taker ratio intraday range,7d,-0.035464266612541824,-1.3424066075933563,0.17967711140738649,1433,0.5003489183531054,-0.02878676271461842,-0.90932771260361,999,-0.05731115881167131,-1.193151172130855,434,True
ETH,taker_ratio_range,Taker ratio intraday range,14d,-0.04369381709265296,-1.6504027697474672,0.09908110634312695,1426,0.4761570827489481,-0.02231236045664903,-0.7046950620580271,999,-0.1048216678653197,-2.1729246087455003,427,True
ETH,ls_ratio_range,L/S ratio intraday range,1d,-0.022605480774071072,-0.8890567531251475,0.3741108894517335,1548,0.5,-0.008344488851261706,-0.277518808881318,1108,-0.04361658517206841,-0.9136970270528516,440,True
ETH,ls_ratio_range,L/S ratio intraday range,3d,-0.033334792826726106,-1.3105778942713426,0.1901953219663544,1546,0.5129366106080206,-0.0044555730996756835,-0.14817858648335952,1108,-0.09263289566332743,-1.9425841182290973,438,True
ETH,ls_ratio_range,L/S ratio intraday range,7d,-0.06003019798759907,-2.3600112142033653,0.018398508854927016,1542,0.49351491569390404,-0.021701945151277435,-0.7219024569299752,1108,-0.12694518525477735,-2.6600264498161708,434,True
ETH,ls_ratio_range,L/S ratio intraday range,14d,-0.10339047085285112,-4.069914642889416,4.94263138722074e-05,1535,0.4677524429967427,-0.056599799899813175,-1.885337974701923,1108,-0.17751861251776013,-3.7187024521594436,427,True
ETH,oi_dispersion,Cross-token OI z-score dispersion,1d,-0.0028356180332787637,-0.11149469926340821,0.9112385416650776,1548,0.5,0.026929867108517015,0.8959201615318174,1108,-0.07132573468401648,-1.4965486340550238,440,False
ETH,oi_dispersion,Cross-token OI z-score dispersion,3d,-0.041409311068267736,-1.6285245947514453,0.10361770485486095,1546,0.5116429495472187,-0.008488118267360093,-0.2822959393829048,1108,-0.13070955066782275,-2.75291360445176,438,True
ETH,oi_dispersion,Cross-token OI z-score dispersion,7d,-0.02419568275803344,-0.9497852133015872,0.3423704265714712,1542,0.49221789883268485,0.007731878206172074,0.25714349932703295,1108,-0.0971251828987008,-2.0282984614203667,434,False
ETH,oi_dispersion,Cross-token OI z-score dispersion,14d,0.0023353724375607832,0.09143835661006296,0.927156231461037,1535,0.46514657980456026,0.0332951353719818,1.107896534915362,1108,-0.0701261344688323,-1.449255172246263,427,False
ETH,toptrader_ls_dispersion,Cross-token top trader L/S dispersion,1d,-0.0012379093270023173,-0.04268547270298188,0.9659594269547842,1191,0.5046179680940386,0.00953256650706859,0.26089784137269295,751,-0.04389593484940051,-0.9195602132481375,440,False
ETH,toptrader_ls_dispersion,Cross-token top trader L/S dispersion,3d,-0.006276745731552044,-0.2162561418481262,0.8288252512459096,1189,0.5147182506307821,0.003960733206788113,0.10839765943889973,751,-0.06592769672746814,-1.3796122029808435,438,False
ETH,toptrader_ls_dispersion,Cross-token top trader L/S dispersion,7d,-0.006067364779768989,-0.2086894394387365,0.8347266104318093,1185,0.509704641350211,0.024540697509703377,0.6718288144327221,751,-0.09387453121599607,-1.9597998973703694,434,False
ETH,toptrader_ls_dispersion,Cross-token top trader L/S dispersion,14d,0.07642205563974823,2.628417232128403,0.008690082451959987,1178,0.48896434634974534,0.11552945009490893,3.183108237483801,751,-0.06334436833965336,-1.308505440891884,427,False
ETH,taker_dispersion,Cross-token taker ratio dispersion,1d,0.0033360148215819067,0.12473374846648656,0.9007522712597303,1400,0.4992857142857143,0.001563274808240894,0.04838587672303088,960,0.007862784790868096,0.16456098164867614,440,True
ETH,taker_dispersion,Cross-token taker ratio dispersion,3d,0.0366322219437441,1.3696120262112972,0.17102830877914807,1398,0.5135908440629471,0.03407388951159886,1.0552533177860466,960,0.0478902590081687,1.0011266551062004,438,True
ETH,taker_dispersion,Cross-token taker ratio dispersion,7d,0.0107634616696332,0.4016028116038306,0.6880380069451959,1394,0.505738880918221,-0.013198093747931582,-0.4085373726125185,960,0.07006523983354795,1.4598664141648383,434,False
ETH,taker_dispersion,Cross-token taker ratio dispersion,14d,-0.03732769968856811,-1.390141116656064,0.16470939439534904,1387,0.4859408795962509,-0.05468524000134548,-1.695130833089806,960,0.023040803423266736,0.47512446451907564,427,False
PANEL,oi_roc_5d,OI rate of change (5d),1d,-0.025103768276458077,-4.889690117921891,1.014075312439259e-06,37917,0.49059788485375955,-0.02146654735289905,-3.464504079428868,26037,-0.038067854607667886,-4.151881713975464,11880,True
PANEL,oi_roc_5d,OI rate of change (5d),3d,-0.016561115403098202,-3.222887818899117,0.0012701262815123541,37863,0.49296146633917015,-0.008106035497231018,-1.3079813782581384,26037,-0.04084219381465388,-4.44481607682292,11826,True
PANEL,oi_roc_5d,OI rate of change (5d),7d,-0.02046552717866601,-3.9773118012526587,6.982862923591311e-05,37755,0.4869818567077208,-0.0013194776935135126,-0.21290272577007188,26037,-0.07560050277083434,-8.206519705350935,11718,True
PANEL,oi_roc_5d,OI rate of change (5d),14d,-0.0008734756673402502,-0.1692921781818629,0.8655677396659086,37566,0.4984560506841293,0.010980554327802095,1.7718593293201255,26037,-0.040563925011171405,-4.358687299896245,11529,False
