signal,description,horizon,period,IC,t_stat,p_value,n_obs
ls_proxy_30d,LS ratio proxy (30d),7d,IS,0.013077013280548002,0.5183627610517644,0.6042781886149124,1573
ls_proxy_30d,LS ratio proxy (30d),7d,OOS,-0.04626569841696759,-1.2006296498499753,0.23031793729820488,674
ls_proxy_30d,LS ratio proxy (30d),14d,IS,0.08136390650125848,3.235654912484547,0.0012388992792614097,1573
ls_proxy_30d,LS ratio proxy (30d),14d,OOS,-0.017118443529489505,-0.44150816498127093,0.6589886725815451,667
cum_funding_7d,Cumulative funding (7d),1d,IS,-0.01825103891215252,-0.7253556528198333,0.4683413548863022,1581
cum_funding_7d,Cumulative funding (7d),1d,OOS,-0.02839648416703527,-0.7396982459831923,0.4597391473070787,680
cum_funding_7d,Cumulative funding (7d),3d,IS,-0.017027374644665437,-0.6767086434255087,0.4986899482180266,1581
cum_funding_7d,Cumulative funding (7d),3d,OOS,-0.05706593225778004,-1.4861360282754128,0.13770935636032572,678
cum_funding_7d,Cumulative funding (7d),7d,IS,-0.03184980991441837,-1.2662466166379212,0.20561157425108434,1581
cum_funding_7d,Cumulative funding (7d),7d,OOS,-0.057613247834984074,-1.49599095492362,0.13512548664215954,674
cum_funding_7d,Cumulative funding (7d),14d,IS,-0.10137514620865631,-4.04916719475274,5.389144093744238e-05,1581
cum_funding_7d,Cumulative funding (7d),14d,OOS,-0.04166613084459551,-1.0754031534632913,0.282584282659967,667
cum_funding_30d,Cumulative funding (30d),1d,IS,-0.01330136446672557,-0.5247342504381854,0.5998426926283618,1558
cum_funding_30d,Cumulative funding (30d),1d,OOS,-0.008474537460199575,-0.220671601202078,0.8254145791193512,680
cum_funding_30d,Cumulative funding (30d),3d,IS,-0.03102532515480936,-1.2244195586378244,0.22097933915140286,1558
cum_funding_30d,Cumulative funding (30d),3d,OOS,-0.028326696625621903,-0.7367897722858823,0.46150582465240264,678
cum_funding_30d,Cumulative funding (30d),7d,IS,-0.07410998772157551,-2.9314160443025363,0.0034234711157107157,1558
cum_funding_30d,Cumulative funding (30d),7d,OOS,-0.03634479369824452,-0.94278762539286,0.34612835218512006,674
cum_funding_30d,Cumulative funding (30d),14d,IS,-0.16655157201046192,-6.662883120305685,3.7150426089964147e-11,1558
