indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
di_diff,-0.3107293363003471,7.527981920708354e-06,0.3152949565824785,0.06331816248218938,-0.013124918517239403,0,0.47914770310273674,-1.0
rsi_21,-0.3008072021307172,1.5043056288048236e-05,0.3078439370874588,0.06324878268995834,-0.0054982805706214315,0,0.479060978362448,-1.0
price_to_sma_20,-0.29138703840657704,2.836518616397113e-05,0.2599931108532076,0.06260836917947543,-0.010600771946581319,0,0.4782604614743443,-1.0
ichimoku_conv,-0.13233533161429292,0.0617624149991355,0.27745031680134863,0.0612751126729473,-0.050437844295212794,0,0.47659389084118414,-1.0
macd_signal_5_13,-0.1415816504798712,0.04552167685883702,0.31863635694572173,0.061250204884715206,-0.044005885788012795,0,0.47656275610589405,-1.0
ema_10,-0.14169471079074267,0.04534768677145067,0.29276710598595757,0.05887306502248076,-0.041166930996147336,0,0.473591331278101,-1.0
chaikin_mf,0.13355653198212558,0.05937707455919401,0.34259616066796794,0.0372163828722436,0.006760279796136447,0,0.4735615977748503,1.0
zscore_20,-0.2943965634486865,2.3218403008852307e-05,0.3134551816750228,0.057108416028591485,-0.007936884590845034,0,0.4713855200357394,-1.0
bb_pct_20,-0.2943965634487494,2.3218403008754695e-05,0.3134551816750228,0.057108416028591485,-0.007936884590855389,0,0.4713855200357394,-1.0
mfi_14,-0.1264177479770822,0.07446037340051152,0.2929315862658462,0.05650969085698501,-0.04820477061247338,0,0.4706371135712313,-1.0
kurtosis_20,-0.13430968704404644,0.057944149740986266,0.3433611786701132,0.03436866144042406,0.00690961309874523,0,0.47059927919551103,-1.0
ichimoku_cloud_dist,-0.23630839850827787,0.0007549677321434799,0.29534568615385454,0.05614539986858206,-0.0029858162099689234,0,0.4701817498357276,-1.0
sma_50,-0.11500961112601206,0.10487353541226319,0.36891387113603025,0.05566679574901202,-0.014378883227529785,0,0.46958349468626503,-1.0
cci_20,-0.2507635225024298,0.00034162784446438834,0.3700586564397521,0.05301203174323952,-0.00913867116785281,0,0.4662650396790494,-1.0
macd_8_21,-0.18427760704710786,0.008997396711148362,0.2830332417992712,0.0529860471194154,-0.04271488226468019,0,0.4662325588992693,-1.0
macd_5_13,-0.25548057766867244,0.00026104456124854866,0.30928359517810394,0.05272132076364662,-0.01596530783244331,0,0.46590165095455827,-1.0
ultimate_osc,-0.2112428412277776,0.002676331334852901,0.3344998280201725,0.039888581334340464,0.004009081774563508,0,0.4658970537661796,-1.0
ichimoku_base,-0.13700749389119182,0.05304354898925784,0.3244304653414711,0.05220094857505257,-0.027311286797703026,0,0.46525118571881574,-1.0
roc_14,-0.26620871269769397,0.00013888515512971235,0.32571393141432187,0.05169562624062338,-0.027964198611045633,0,0.4646195328007793,-1.0
momentum_14,-0.26620871269769397,0.00013888515512971235,0.32571393141432187,0.05169562624062338,-0.027964198611045626,0,0.4646195328007793,-1.0
sma_10,-0.13219947134846058,0.06203258604378219,0.30858769102758293,0.05156695097214892,-0.04332815407937882,0,0.46445868871518614,-1.0
atr_20,-0.09740450150612555,0.17002036246499003,0.32073131404246974,0.05452641051992106,-0.01460590194503037,0,0.4642647654090897,-1.0
skewness_10,-0.15418904811901352,0.02926133873816411,0.38298395132125723,0.04062567522399964,0.003044029239418645,0,0.46295821098767415,-1.0
skewness_30,-0.20135256070890042,0.004249148485792038,0.3016380864208757,0.049860040872403526,-0.004077412613176498,0,0.4623250510905044,-1.0
ema_100,-0.10249941115494515,0.14865983987629278,0.279438484425898,0.048964136957746554,-0.014204895122800206,0,0.4612051711971832,-1.0
ichimoku_span_a,-0.13525693378875298,0.056182567310509225,0.34497327515340515,0.04880820370690928,-0.043678340228122794,0,0.46101025463363665,-1.0
sma_20,-0.11348873752403447,0.10957931247452338,0.3189452556418469,0.04829089268569951,-0.032754264341376925,0,0.46036361585712443,-1.0
ichimoku_span_b,-0.0991528554951379,0.16244710380813118,0.2784094952472415,0.036967758238598034,0.0035943282329482878,0,0.4593162939727476,-1.0
macd_12_26,-0.14077382029743443,0.04678117241552629,0.28579843619822665,0.046599761068236586,-0.046936669242510824,0,0.45824970133529574,-1.0
ema_20,-0.12910006900925278,0.06846428676754696,0.3374047027980724,0.046470054022713723,-0.035318233488941614,0,0.4580875675283922,-1.0
zscore_50,-0.23077056197088275,0.0010103757194511924,0.3115164088326561,0.04639616609280142,-0.01863980163395029,0,0.4579952076160018,-1.0
body_ratio,0.11736985679747099,0.09788755930101581,0.32731310120644325,0.02841502111777278,0.005264611577139135,0,0.4565772227057725,1.0
ema_50,-0.11512652629283068,0.10451847903959634,0.2942295968903324,0.04478669647284524,-0.022711609388994407,0,0.4559833705910566,-1.0
atr_14,-0.10553928048717992,0.1369217512789821,0.3041015286101878,0.04295736697969866,-0.016146246523311363,0,0.45369670872462337,-1.0
bb_upper_20,-0.1308458865487983,0.06477767702516171,0.30480317707095284,0.042609841650763536,-0.044615696189461436,0,0.4532623020634544,-1.0
minus_di,0.22683806011090715,0.001237567559613007,0.2913756663383125,0.0416508888213712,-0.006248496165540667,0,0.452063611026714,1.0
upper_shadow,-0.0958046656717217,0.17717759926710228,0.36485191196881606,0.04634571446135095,-0.012559007263298632,0,0.4516391415842712,-1.0
bb_lower_20,-0.08961754786168588,0.20695585820288356,0.30107220986830807,0.050614235631839366,-0.0018679134516968582,0,0.447694116332328,-1.0
entropy_20,0.11893753483553879,0.09345506599911411,0.30169619306912626,0.03733889101729984,-0.02165648984278473,0,0.44667361377162484,1.0
garman_klass_vol,-0.07246618555417879,0.3078497328560156,0.3801173000387424,0.06630817509175789,-0.018960931113507287,0,0.44158449719596554,-1.0
sma_100,-0.08285754346985248,0.24343469461877834,0.3112339624615103,0.036075415810418544,0.005350866072767528,0,0.440784049258872,-1.0
atr_30,-0.0882298398742976,0.2141031540584515,0.317422627856606,0.04525365994233429,-0.011644399439459838,0,0.43891183473936424,-1.0
atr_pct_20,0.07861187885502002,0.2685167900608209,0.3163479214507542,0.02777794178203058,0.008428104260556379,0,0.4363526625522937,1.0
volume_sma_10,-0.08082556880237628,0.255227409119073,0.31036282328754233,0.032193832084522575,0.005170123948817665,0,0.4321611391044883,-1.0
realized_vol_10,0.12253946496625148,0.08387569394239305,0.3502618993736582,0.025072877913268787,-0.0191847579007638,0,0.431341097391586,1.0
macd_signal_8_21,-0.07774106570041577,0.2738715305509755,0.29891396264756426,0.04356825077353334,-0.04124061735871284,0,0.4210719120175403,-1.0
gap_up,0.13273484679893716,0.06097353642421504,0.05899260366575889,0.013342637401334708,-0.0002879560768304108,0,0.4166782967516684,1.0
momentum_21,-0.07509252881203507,0.29060053281042575,0.26068173301458686,0.038641827820177464,-0.0033620278282506283,0,0.4109410779932744,-1.0
