indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
ema_200,-0.04749501123717704,0.5042307581074623,0.3279100876036203,0.05787299236470575,-0.006952740686075874,0,0.39358375731164774,-1.0
volume_ratio_20,0.011714693469398902,0.8692289195152877,0.309490158547643,0.04789865100975669,0.016522780723120634,0,0.39353647685877674,1.0
skewness_10,0.011557693516980501,0.870966162513372,0.3548094967675418,0.07882081502325115,0.003709293432110027,0,0.3806997327829748,1.0
volume_ratio_50,0.012571865291367963,0.8597553595807215,0.29988596033189024,0.02836239881633788,0.017265984377962524,0,0.37337473396932436,1.0
realized_vol_20,0.04699007058070158,0.5087792580614336,0.31656194463907894,0.04229422893519131,-0.009377720962328459,0,0.3733528920400415,1.0
sma_200,0.04512827087952099,0.5257329192473317,0.32324198723882713,0.04242772701486267,-0.01178624564550977,0,0.3707270650878598,1.0
outside_bar,0.06371193520765796,0.3700999390222354,0.0902905521494098,0.010795229262144136,-0.03724903528294629,0,0.3590619393891671,1.0
realized_vol_60,-0.0065755484305626555,0.9263719644241076,0.3199573504916114,0.036498528856442426,0.01321890710002569,0,0.3583621121164998,-1.0
autocorr_10,0.014706504486567696,0.8362528095901494,0.28193590942630564,0.04425208754057826,0.006867000977055737,0,0.35484287006379733,1.0
hurst_100,-0.018740331616122766,0.7922498161243033,0.33634207358124896,0.03491314771882252,0.008079678681882016,0,0.35407064680024036,-1.0
entropy_20,-0.01651667015431042,0.8164349252743939,0.25927766099048905,0.03347253294686495,0.005241510912459922,0,0.3375817150648865,-1.0
garman_klass_vol,-0.010871765926071825,0.8785632605126881,0.30474721376720165,0.054345515173626145,-0.016565558185969984,0,0.33423954285614044,-1.0
entropy_50,0.004242992740264356,0.9524510153904369,0.29490350461230985,0.0588170433475762,-0.001069600818722619,0,0.3298857932948668,1.0
gap_up,-0.03884104883434508,0.5850257321496982,0.07256393897005681,0.013399260729943229,-0.007909539538272926,0,0.3250106491639466,-1.0
gap_down,0.015355018725084695,0.82914025194402,0.05290109873570344,0.011479544739537944,0.005174761814911323,0,0.30808100627169477,1.0
lower_shadow,0.003646386476530996,0.9591305865477171,0.3217841156861153,0.03576906307554466,-0.005731708783564642,0,0.3001809085592273,1.0
parkinson_vol,0.0011548631975634063,0.9870510090264113,0.30630757433561157,0.038689728170013905,-0.016270694059028958,0,0.3000944550088625,1.0
autocorr_5,-0.001242196749668892,0.9860718702114448,0.3378332538626876,0.032818181273143884,-0.004286082584150814,0,0.2928860217159332,-1.0
inside_bar,0.012826518251094278,0.8569446984234236,0.06337360065338914,0.004005060139586407,-0.02588584935377041,0,0.2742461025511244,1.0
